id	filename	md5	size	state
5c8244ad-0b77-4507-99b3-090f4914dde0	TCGA-DX-AB36-01Z-00-DX1.83E57948-B439-45B6-ACBF-1CBBCF79EE88.svs	319d8a5dd5d8755ad9a944f3dd6f6b61	1019791031	released
dba68a69-b444-49eb-9510-83f1515b4fd1	TCGA-DX-AB36-01Z-00-DX2.B0293A74-52AC-490B-A5F0-CA96F4B36252.svs	320f15da4a6e808c6ef93168b3580e92	1008618685	released
4dabe77c-4bbc-4845-a856-e319e1dd8b5b	TCGA-Z4-AAPG-01Z-00-DX1.543DB232-1C6A-416A-88DF-6D18CABFD3F5.svs	5345049e726acb5d2fdd56f2153c2a97	917591371	released
d70fb935-ca87-46a3-8f50-e8ce4b897dc8	TCGA-DX-A6YV-01Z-00-DX3.940BC7F7-FEEA-48C2-8861-ABA89948A426.svs	be750065238c9d6cac9fc489b9332c44	863533793	released
e9505ca9-bf69-410a-8a6a-e1f00a2673e8	TCGA-DX-A6YV-01Z-00-DX2.13AA3F9B-4841-412F-9E2C-42F0852A98AF.svs	11540ad2c140ddbaf4006ce39ca3eee1	1090055951	released
df23d6a4-e9fc-47b7-826f-436892af2538	TCGA-DX-A6YV-01Z-00-DX1.A2BD539F-5478-4AA5-BB43-87DE59CD9EC1.svs	b9fab2a3c5ee1355810ff9d51bda23d8	739570013	released
42d22c74-0444-44ad-b9d8-8328a6a9ebfa	TCGA-DX-A6YV-01Z-00-DX5.589EBE88-2F93-4F46-8AC3-D5DD522A9860.svs	fd45c78adc58d22b466784a66fb1194e	856857829	released
27f27301-6a74-4604-b663-286c976c5104	TCGA-DX-A6BK-01Z-00-DX1.2667714B-C1C9-4204-B04A-98861834E65E.svs	b748b5b710902d3bb08a1d69f990026e	562508035	released
0165f398-5c82-4dc5-92d9-927aefea7b8c	TCGA-DX-A6BK-01Z-00-DX2.561B10AB-522B-4B2F-BE4B-21AB7A08E7E8.svs	57cef6c1af733fbc1a7daa834447ecaf	852656861	released
8a7eef86-a4c3-4ce6-a6b5-b9aa77961caa	TCGA-X6-A8C6-01Z-00-DX4.E0392C72-944A-4738-963A-C36B2D5A9B8F.svs	69be782b0490e535fee2b6d037a2f7a4	2089121435	released
afde03f0-d62f-4677-a5fa-0b31dfe41aff	TCGA-X6-A8C6-01Z-00-DX2.18FB768D-0D88-4B6F-A070-234460831E0E.svs	8c85a30f0f76463db9a55db9d02ba4f8	2144874191	released
3bf6620d-600a-4fa3-a5c9-bd0cac04052d	TCGA-X6-A8C6-01Z-00-DX1.58506473-F178-4D41-94BA-7300851AE096.svs	5f6f6d8fd6a0be7879c7903786b19cac	2168575199	released
bfc79980-71c9-4dea-be16-307476d03a80	TCGA-X6-A8C6-01Z-00-DX3.04354C61-B3A0-4937-974E-582C92C5706B.svs	a8e0440dcba956dd93f133db4cea509f	2172425941	released
623a25c8-b2c8-4171-93a0-d0b090a1f0a6	TCGA-X6-A8C6-01Z-00-DX5.5E6D1D13-1DBF-4386-9A67-F05312B1A300.svs	120a8f91693664af79590c91d905140b	2072697061	released
7af7f956-6332-4dc3-b8d3-0eff81b44be6	TCGA-HS-A5N8-01Z-00-DX1.601413E5-4F0F-4ABD-B307-37A132334F75.svs	76564272aeddfb4fa8c51a03b23b35b9	256493026	released
